Time,BTC,ETH,BCH,XMR,DASH,BTC_volume,ETH_volume,BCH_volume,XMR_volume,DASH_volume
01/16/21 10:00 PM,35920.77,1233.64,487.26,154.79,122.81317459,15820273.6578284,7895339.38913366,17696216.1615413,13491782.889518,1898577.06130995
01/16/21 11:00 PM,36143.83,1230.21,490.27,155.14,123.23183421,11980834.94484,5898796.46751271,32266446.6745051,4413166.235015,123734.708820497
01/17/21 12:00 AM,36013.51,1226.44,489.98,155.77,122.56905394,13838716.3995466,3952503.73835595,35549346.5933583,12132199.5322804,11334089.0516025
01/17/21 01:00 AM,36373.21,1233.17,492.29,156.14,122.48581056,4976427.77001404,1883753.26660436,17414533.7433379,19688287.7084493,1743875.72385199
01/17/21 02:00 AM,36708.23,1250.9,493.78,158.03,122.927,3963652.81816233,1897777.9415978,22988401.7076028,3781642.2860289,573183.49316025
01/17/21 03:00 AM,36400.43,1244.95,488.42,156.33,122.75798928,4432709.94322156,1087408.12748294,18630569.6326157,5530521.7806783,305900.411294871
01/17/21 04:00 AM,36191.06,1240.6,488,155.96,124.88260181,6458781.20432225,2617524.41086111,5355545.17785885,5259075.6968472,233002.812664358
01/17/21 05:00 AM,35854.77,1222.74,483.77,155.71,123,11187193.7632476,2120393.3158912,23472935.9832795,2600939.4853,777680.00418
01/17/21 06:00 AM,35544.67,1214.45,476.21,154.46,124.02072883,16032293.9762329,4755166.56948429,29471103.2715,7308292.6542054,705252.697326444
01/17/21 07:00 AM,35387.09,1212.01,474.6,155.42,124.2471364,17838678.6345711,8424736.86560704,28064343.6954233,8293858.8743556,5916.15040435104
01/17/21 08:00 AM,34763.95,1182.07,470.94,153.27,124.28107366,23543010.170279,6055979.39677588,25709993.1847578,13838658.6354262,123038.2629234
01/17/21 09:00 AM,34692.61,1195.36,471.82,154.46,124.38202792,19414658.5205502,4258146.08255822,35645029.9092675,24375062.2793025,617500.082757396
01/17/21 10:00 AM,34151.05,1179.3,464.17,150.24,122.7779237,16195018.3566318,5525931.34165524,21168429.6514866,2322781.0282712,116639.027515
01/17/21 11:00 AM,34817.78,1202.96,473.37,153.12,123.17312128,10616630.8965915,5196940.76811552,17377934.6619681,5299382.655378,631037.875634008
01/17/21 12:00 PM,35302.42,1220.65,479.38,153.89,123.66204543,8344278.04625352,6097358.19582125,48182307.8917748,6415314.4834794,7264550.58829525
01/17/21 01:00 PM,35120.13,1214.82,475.76,153.02,125.08669347,5624512.7553555,7331790.1589309,5279928.1310853,5015497.6172742,2749927.50548985
01/17/21 02:00 PM,34896.95,1199.26,472.1,152.99,124.50345119,8926312.01609976,4174164.5166359,19586249.5025376,5603727.0181568,535726.912338509
01/17/21 03:00 PM,34786.91,1198.49,472.54,152.48,124.557,14741554.052309,7912413.64152311,14865251.54832,4275054.3625694,0
